# Commit messages across all branches (with containing branches)
# Generated: 2025-11-24T23:26:54+05:30
# Format: <hash>|<date>|<subject>|<branches>

862cfeb|2025-11-05 19:38:12 +0530|fix(ui): make cause tooltips scrollable and show full text; dedup rationale/context|feat/nextjs-migration,origin/feat/nextjs-migration
75922aa|2025-11-05 19:37:57 +0530|refactor(lobby): render scenarios from backend catalog; remove community banner; add Create Your Own card|feat/nextjs-migration,origin/feat/nextjs-migration
5075371|2025-11-05 19:37:45 +0530|feat(api): add scenarios catalog endpoint and official scenarios JSON|feat/nextjs-migration,origin/feat/nextjs-migration
5ea3466|2025-11-05 17:49:45 +0530|prompts(consequences): include XML-like <rounds> history block and instruct model to use prior rounds; clarify citation rules and action refs; use quoted titles|feat/nextjs-migration,origin/feat/nextjs-migration
1c40854|2025-11-05 17:44:05 +0530|ui(causes): keep tooltip but de-duplicate content; show single Reason when similar, otherwise Context + Reason; smaller, clearer text|feat/nextjs-migration,origin/feat/nextjs-migration
307f13e|2025-11-05 17:35:32 +0530|updated migration plan|feat/nextjs-migration,origin/feat/nextjs-migration
a7240c2|2025-11-05 17:20:50 +0530|fix(end): keep final-round key moments with causes only; remove duplicate list; merge hiddenScore/actionPoints from SSE snapshot to fix zero scores|feat/nextjs-migration,origin/feat/nextjs-migration
08505cf|2025-11-05 17:14:57 +0530|rules: end game only when round > maxRounds (not >=); keep last round playable|feat/nextjs-migration,origin/feat/nextjs-migration
67050e7|2025-11-05 17:07:40 +0530|tests(store): remove isBackendMode assertions after flag removal|feat/nextjs-migration,origin/feat/nextjs-migration
83e03db|2025-11-05 16:55:19 +0530|backend: normalize canonical setup on create and convert to core type; rely on setup.maxRounds during advance (no env fallback)|feat/nextjs-migration,origin/feat/nextjs-migration
f6dd004|2025-11-05 16:46:20 +0530|fix(setup): normalize custom/public setup for server (ensure coreMetric.value, prune stakeholders to selected role + N AI, set maxRounds/maxAIPlayers)|feat/nextjs-migration,origin/feat/nextjs-migration
92a2aa1|2025-11-05 16:43:29 +0530|fix(lobby/classic): enforce classic min AI players (3–5); set mode=custom when a custom/public setup is present; clamp initial roster accordingly|feat/nextjs-migration,origin/feat/nextjs-migration
fc62bf0|2025-11-05 16:38:39 +0530|fix(rounds): drive round cap from setup.maxRounds across UI and controller; display correct denominator in HUD and rules|feat/nextjs-migration,origin/feat/nextjs-migration
97b444f|2025-11-05 16:30:02 +0530|refactor(actions): remove confirm() session-creation fallback; enforce server-authoritative flow|feat/nextjs-migration,origin/feat/nextjs-migration
751f635|2025-11-05 16:29:44 +0530|test(e2e): provide canonical setup on POST /session for golden path|feat/nextjs-migration,origin/feat/nextjs-migration
2ab06f4|2025-11-05 15:21:42 +0530|feat(backend-mode): remove client chat-mode paths; server-only session flow|feat/nextjs-migration,origin/feat/nextjs-migration
da903e0|2025-11-05 13:38:56 +0530|docs-site(nextra): scaffold standalone Nextra docs app (keeps docs/ intact)|feat/nextjs-migration,origin/feat/nextjs-migration
ed4beaa|2025-11-05 13:19:43 +0530|Docs: FE↔BE stores, endpoints, and SSE data flow|feat/nextjs-migration,origin/feat/nextjs-migration
d234634|2025-11-05 03:06:33 +0530|RouteOrchestrator: remove controller dependency; use stores directly|feat/nextjs-migration,origin/feat/nextjs-migration
a13bb7a|2025-11-05 03:03:48 +0530|test(config): set vitest single-threaded via inline any cast to stabilize coverage|feat/nextjs-migration,origin/feat/nextjs-migration
2fca48c|2025-11-04 22:22:44 +0530|App Router: modular hooks + StartProgress HUD; fix SSR/tests|feat/nextjs-migration,origin/feat/nextjs-migration
3b57079|2025-11-04 21:10:03 +0530|refactor(page): migrate GamePage to modular hooks (useGame/useUI/useActions/useLobby/useGameActions); retain timer/pause locally; no visual changes|feat/nextjs-migration,origin/feat/nextjs-migration
ba809e9|2025-11-04 21:04:16 +0530|refactor(controller): use useRoundOptions to load human action-options (backend + client paths); keep behavior identical|feat/nextjs-migration,origin/feat/nextjs-migration
d390975|2025-11-04 02:43:43 +0530|refactor(page): migrate LobbyPage to modular hooks (useLobby/useUI/useGame/useGameActions); keep ActionTreePortal inert in lobby; implement store-level reset on Home nav|feat/nextjs-migration,origin/feat/nextjs-migration
9b8f76c|2025-11-04 02:28:10 +0530|refactor(controller): delegate handleStartGame/handleConfirmActions to modular useGameActions (compat shim)|feat/nextjs-migration,origin/feat/nextjs-migration
63dd688|2025-11-04 02:19:38 +0530|fix(types): tighten GamePage props, boolean coercion; use updateAICompletion + direct setSessionMeta; replace leftover sessionClient.advance; annotate types; drop citations from log entry; simplify zod generics to avoid TS issues|feat/nextjs-migration,origin/feat/nextjs-migration
170642e|2025-11-04 01:53:28 +0530|chore: remove deprecated LLM backend doc and legacy server route|feat/nextjs-migration,origin/feat/nextjs-migration
57986ff|2025-11-03 20:44:45 +0530|feat(app,ui,docs): track lobby route; add shared Tooltip; add UI refinement + AI art prompt docs|feat/nextjs-migration,origin/feat/nextjs-migration
0282b70|2025-11-03 15:20:12 +0530|chore(llm): minor openai service tweaks; tidy About screen|feat/nextjs-migration,origin/feat/nextjs-migration
6d600cb|2025-11-03 15:19:55 +0530|chore(dev): update scripts and deps; adjust prompts; refresh Next env types|feat/nextjs-migration,origin/feat/nextjs-migration
cd0208c|2025-11-03 15:19:37 +0530|feat(stores): add lobby, action, and session stores (Zustand)|feat/nextjs-migration,origin/feat/nextjs-migration
e5ef126|2025-11-03 15:19:16 +0530|feat(session-core): add session router, types, store engine and test fixtures (pure core for backend mode)|feat/nextjs-migration,origin/feat/nextjs-migration
6b75112|2025-11-03 15:19:02 +0530|feat(app): finalize App Router pages; add FocusBoundary; minor UI refinements to screens and game components; Home resets before navigating to lobby|feat/nextjs-migration,origin/feat/nextjs-migration
027e20f|2025-11-03 15:18:45 +0530|docs: add modular architecture + controller evolution; update session-backend guide|feat/nextjs-migration,origin/feat/nextjs-migration
f33e0bc|2025-11-03 15:15:24 +0530|test: add StartProgress, SSE progress, and overlay behavior specs; update navigation tests for EndPage routing; update migration status|feat/nextjs-migration,origin/feat/nextjs-migration
c796b2d|2025-11-03 15:14:44 +0530|refactor(controller): persist gameSetup in store; always pass setup to chat consequences; introduce modular hooks (useGame/useUI/useActions/useLobby/useSession) and SessionService/GameService; delegate backend calls|feat/nextjs-migration,origin/feat/nextjs-migration
02384dd|2025-11-03 15:14:27 +0530|feat(ui): add StartProgress HUD + step states; wire start lifecycle and SSE; keep full-screen overlay off during options fetch; show submitted actions while waiting|feat/nextjs-migration,origin/feat/nextjs-migration
d830f96|2025-11-03 15:14:02 +0530|fix(router): stop /game↔/end loop; prioritize END in orchestrator, clear start-intent at END, remove end-page self-redirect|feat/nextjs-migration,origin/feat/nextjs-migration
f41e918|2025-11-03 15:13:36 +0530|feat(server): add structured logger + x-req-id; instrument LLM and Session routes; include SSE payload; parallelize AI turns and fix aiTurnResults ordering|feat/nextjs-migration,origin/feat/nextjs-migration
34108ae|2025-11-02 14:50:53 +0530|Interpretability: add causal citations to outcomes and display in Event Log|feat/nextjs-migration,origin/feat/nextjs-migration
716c314|2025-11-02 14:43:09 +0530|Chat mode: add fairness/neutrality guidance to initial scenario prompt|feat/nextjs-migration,origin/feat/nextjs-migration
6cd0021|2025-11-02 14:38:15 +0530|Prompts: add explicit fairness/neutrality constraints to reduce bias|feat/nextjs-migration,origin/feat/nextjs-migration
735966c|2025-11-02 14:32:27 +0530|Prompts: ensure stakeholders include antagonists and mixed types|feat/nextjs-migration,origin/feat/nextjs-migration
158374d|2025-11-02 14:28:15 +0530|Docs: expand ADA proposal with TS shapes, evaluator pseudocode, validation, and Phase 0 plan|feat/nextjs-migration,origin/feat/nextjs-migration
940714e|2025-11-02 14:25:00 +0530|Layout: Move Event Log below Actions panel on Game screen|feat/nextjs-migration,origin/feat/nextjs-migration
a73f512|2025-11-02 14:04:50 +0530|Fix runtime icon rendering: return real React element for preset roles|feat/nextjs-migration,origin/feat/nextjs-migration
d5a0279|2025-11-02 14:02:48 +0530|Lobby: Show scenario intro for Classic and AI Safety presets|feat/nextjs-migration,origin/feat/nextjs-migration
781475c|2025-11-02 13:58:22 +0530|UX: Show full action descriptions by default in ActionSelection|feat/nextjs-migration,origin/feat/nextjs-migration
3637de9|2025-11-02 13:39:14 +0530|chore: Remove deprecated code after Next.js migration|preview
58b8ab4|2025-11-02 12:50:21 +0530|chore(cleanup): remove legacy Hono dev server and routes; modularize hook setup/selection|feat/nextjs-migration,origin/feat/nextjs-migration
2236272|2025-11-02 12:38:45 +0530|refactor(hook): use modular helpers for scenario init and consequence resolution; tests verify behavior not internals|feat/nextjs-migration,origin/feat/nextjs-migration
495e091|2025-11-02 12:27:58 +0530|feat: Add code health metrics and monitoring tools|preview
9f1e658|2025-11-02 03:33:28 +0530|test(hooks): add unit tests for pure game logic helpers; small modular extraction|feat/nextjs-migration,origin/feat/nextjs-migration
e5a4b36|2025-11-02 03:24:59 +0530|chore(naming): rename callGeminiAndCount → callLLMAndCount and geminiCallsThisRoundRef → llmCallsThisRoundRef|feat/nextjs-migration,origin/feat/nextjs-migration
5ca3e12|2025-11-02 03:13:25 +0530|refactor(chat-mode): remove USE_CHAT_MODE flag and rely solely on chat endpoints|feat/nextjs-migration,origin/feat/nextjs-migration
82a7ee9|2025-11-02 02:34:05 +0530|ci(coverage): add GitHub Action for coverage badge and README badge|feat/nextjs-migration,origin/feat/nextjs-migration
f437e99|2025-11-02 02:27:36 +0530|fix(vercel): skip git hooks install on CI; make hooks script no-op without Git repo|feat/nextjs-migration,origin/feat/nextjs-migration
15d54d8|2025-11-02 02:18:31 +0530|chore(git-hooks): run coverage and auto-update README coverage on pre-commit|feat/nextjs-migration,origin/feat/nextjs-migration
69b6947|2025-11-02 02:14:49 +0530|docs(coverage): add Test Coverage section to README and script to update it|feat/nextjs-migration,origin/feat/nextjs-migration
5818422|2025-11-02 02:10:12 +0530|chore(git-hooks): run type-check and unit tests on pre-commit; add hooks installer|feat/nextjs-migration,origin/feat/nextjs-migration
09bb6a3|2025-11-02 02:01:57 +0530|chore(beads): add script to create ADA epic + tasks and retitle migration items|feat/nextjs-migration,origin/feat/nextjs-migration
0c68d44|2025-11-02 02:01:56 +0530|test: align service/handler tests to consolidated API and mock behavior|feat/nextjs-migration,origin/feat/nextjs-migration
bfe34ae|2025-11-02 02:01:56 +0530|fix(api): harden generate handlers + debrief session restore|feat/nextjs-migration,origin/feat/nextjs-migration
0002d27|2025-11-02 02:01:55 +0530|fix(mock-llm): include actor in debrief key events and default fallback|feat/nextjs-migration,origin/feat/nextjs-migration
c0ff77e|2025-11-02 02:01:54 +0530|chore(dev): add bundle analyzer + test/metrics scripts; clean Next config|feat/nextjs-migration,origin/feat/nextjs-migration
0d70f81|2025-11-02 01:38:25 +0530|fix(debrief-schema): make optional fields required and nullable per OpenAI Structured Outputs guidance (actor, rationale); update types and UI accordingly|feat/nextjs-migration,origin/feat/nextjs-migration
2c10972|2025-11-02 01:33:36 +0530|refactor: Consolidate Next.js API routes and update tests|preview
8f94324|2025-11-02 01:21:27 +0530|docs: add ADA + CDT + Shapley design doc and link from README|feat/nextjs-migration,origin/feat/nextjs-migration
9e50cfa|2025-11-02 00:39:33 +0530|fix(prompts): complete getActionOptionsPromptAndSchema function and remove duplicate code|feat/nextjs-migration,origin/feat/nextjs-migration
47f6425|2025-11-01 23:12:07 +0530|refactor(prompts): move chat + debrief prompt builders into prompts.ts and reuse in OpenAI service|feat/nextjs-migration,origin/feat/nextjs-migration
a31004b|2025-11-01 23:05:39 +0530|chore: finalize updates (About/Updates screens, chat route tweaks)|feat/nextjs-migration,origin/feat/nextjs-migration
030fdab|2025-11-01 22:56:44 +0530|fix(vercel): remove outputDirectory override; Next.js uses default .next on Vercel|feat/nextjs-migration,origin/feat/nextjs-migration
60f797a|2025-11-01 22:49:23 +0530|docs(pages): update About to Next.js; refresh Updates with user-visible improvements (Debrief tables, actor attribution, feedback UX, faster custom runs)|feat/nextjs-migration,origin/feat/nextjs-migration
ce8dcf0|2025-11-01 22:44:17 +0530|feat(debrief): add Actor column to key events; request actor in prompt and schema; mock derives actor from round actions|feat/nextjs-migration,origin/feat/nextjs-migration
d2c7f74|2025-11-01 22:35:49 +0530|feat(debrief): colorize impact columns; feed initial setup into debrief prompt via interface param\n\n- Add impactClass with green/red/amber/blue mapping in UI tables\n- LLMService.generateDebriefChat accepts gameSetup and uses it in prompt\n- Route passes gameSetup through to service\n- Mock updated accordingly|feat/nextjs-migration,origin/feat/nextjs-migration
3ceadc2|2025-11-01 22:32:46 +0530|feat(debrief-ui): add round impact table with colored deltas and relative %; render key events and actions as tables\n\n- Compute per-round Δ and Δ% from eventLog, color-coded\n- Convert key events and human actions to tables for readability\n- Allow empty userActions; prevent false 'no actions' claims via prompt grounding|feat/nextjs-migration,origin/feat/nextjs-migration
6432880|2025-11-01 22:11:07 +0530|fix(chat): align API with client contract\n\n- Accept chatHistory as alias for sessionHistory in chat/consequences\n- Return {scenario, chatHistory} and {consequences, chatHistory} in data payloads\n- Prevent 400 on chat/consequences due to field name mismatch|feat/nextjs-migration,origin/feat/nextjs-migration
69dc3af|2025-11-01 22:07:38 +0530|fix(debrief): unify game setup across classic/ai_safety by persisting canonical setup on start\n\n- Classic: build default setup and setGameSetup before chat calls\n- AI Safety/preset: setGameSetup(setup) in initializePresetScenario\n- Debrief route: fallback to minimal setup when missing to avoid 400|feat/nextjs-migration,origin/feat/nextjs-migration
fe0976a|2025-11-01 22:02:48 +0530|feat(dev): add CLI flags for rounds and AI players\n\n- gameConfig reads GAME_MAX_ROUNDS / GAME_AI_PLAYERS (and NEXT_PUBLIC_ variants)\n- dev wrapper supports --rounds N and --ai|--ai-players N\n- useGameController limits AI roster to MAX_AI_PLAYERS\n- README documents flags|feat/nextjs-migration,origin/feat/nextjs-migration
389853b|2025-11-01 21:47:54 +0530|feat(debrief): add chat-based debrief on End screen\n\n- New endpoint: POST /api/llm/chat/debrief (uses chat session)\n- LLMService adds generateDebriefChat; implemented for OpenAI + Mock\n- EndScreen shows Debrief section with Generate button\n- Pass gameSetup to EndScreen to seed debrief session\n- README: mention end-screen debrief|feat/nextjs-migration,origin/feat/nextjs-migration
